2026-09-18 09:42:38 +0000: Memory Usage (412640K) : Starting running IHP-SG13G2 KLayout DRC runset on /project/work/revision-4/tt_submission/tt_submission/tt_um_fabien_pio.gds
2026-09-18 09:42:38 +0000: Memory Usage (412640K) : Ruby Version for klayout: 3.3.10
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : Loading database to memory is complete.
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : IHP-SG13G2 KLayout DRC runset output at: /project/work/revision-4/astrapio-current.xml
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : Evaluate switches.
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : tables selected: main
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : deep mode is enabled.
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : FEOL enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : BEOL enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : OFFGRID enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : ANGLE enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : PIN enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : FORBIDDEN enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : RECOMMENDED enabled: true
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : PreCheck DRC enabled: false
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : CONNECTIVITY_RULES enabled: true.
2026-09-18 09:42:38 +0000: Memory Usage (416164K) : Read in polygons from layers.
2026-09-18 09:42:39 +0000: Memory Usage (417700K) : activ_drw has 51647 polygons
2026-09-18 09:42:39 +0000: Memory Usage (417956K) : activ_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418084K) : activ_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418084K) : activ_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418212K) : activ_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418212K) : activ_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418340K) : activ_iopc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418340K) : activ_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418340K) : biwind_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418468K) : biwind_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418468K) : pemwind_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418468K) : gatpoly_drw has 49772 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418596K) : gatpoly_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418724K) : gatpoly_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418724K) : gatpoly_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418852K) : gatpoly_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418852K) : gatpoly_iopc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418980K) : gatpoly_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (418980K) : cont_drw has 180647 polygons
2026-09-18 09:42:39 +0000: Memory Usage (419108K) : cont_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (419236K) : nsd_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (419236K) : nsd_block has 0 polygons
